freq (Hz),x0 (mm),x1 (mm),x2 (mm),x3 (mm),y0 (mm),y1 (mm),y2 (mm),y3 (mm),sum_sii (dB),sum_sij (db)
3.45,-24.41,-75.01,24.41,24.41,-16.41,46.41,-16.41,16.41,-23.77962214,-178.9916124
3.45,-24.41,-75.01,24.41,24.41,-16.41,106.41,-16.41,16.41,-24.98515148,-181.4604658
3.45,-24.41,-75.01,24.41,24.41,-16.41,121.41,-16.41,16.41,-24.33574182,-178.9599081
3.45,-24.41,-75.01,24.41,24.41,-16.41,131.41,-16.41,16.41,-23.80354309,-178.8640187
3.45,-24.41,-60.01,24.41,24.41,-16.41,16.41,-16.41,16.41,-23.93745161,-178.3319745
3.45,-24.41,-60.01,24.41,24.41,-16.41,31.41,-16.41,16.41,-23.92711573,-178.8085154
3.45,-24.41,-60.01,24.41,24.41,-16.41,46.41,-16.41,16.41,-24.85946543,-150.6629452
3.45,-24.41,-60.01,24.41,24.41,-16.41,61.41,-16.41,16.41,-25.48799897,-156.4138241
3.45,-24.41,-60.01,24.41,24.41,-16.41,76.41,-16.41,16.41,-24.71219531,-159.5217322
3.45,-24.41,-60.01,24.41,24.41,-16.41,91.41,-16.41,16.41,-23.7472186,-164.8295365
3.45,-24.41,-60.01,24.41,24.41,-16.41,106.41,-16.41,16.41,-24.32946047,-165.9996741
3.45,-24.41,-60.01,24.41,24.41,-16.41,121.41,-16.41,16.41,-24.44104495,-167.2250512
3.45,-24.41,-60.01,24.41,24.41,-16.41,131.41,-16.41,16.41,-25.23843964,-167.2334023
3.45,-24.41,-45.01,24.41,24.41,-16.41,16.41,-16.41,16.41,-24.18231758,-166.9790662
3.45,-24.41,-45.01,24.41,24.41,-16.41,31.41,-16.41,16.41,-23.24514151,-170.2740337
3.45,-24.41,-45.01,24.41,24.41,-16.41,46.41,-16.41,16.41,-24.3848616,-136.4299254
3.45,-24.41,-45.01,24.41,24.41,-16.41,61.41,-16.41,16.41,-25.27858009,-143.2366499
3.45,-24.41,-45.01,24.41,24.41,-16.41,76.41,-16.41,16.41,-24.20246424,-148.8705858
3.45,-24.41,-45.01,24.41,24.41,-16.41,91.41,-16.41,16.41,-25.44455586,-152.4458821
3.45,-24.41,-45.01,24.41,24.41,-16.41,106.41,-16.41,16.41,-25.14807762,-153.9674601
3.45,-24.41,-45.01,24.41,24.41,-16.41,121.41,-16.41,16.41,-24.77397321,-157.0218065
3.45,-24.41,-45.01,24.41,24.41,-16.41,131.41,-16.41,16.41,-23.71276375,-162.26235
3.45,-24.41,-30.01,24.41,24.41,-16.41,16.41,-16.41,16.41,-25.66933892,-159.0043631
3.45,-24.41,-30.01,24.41,24.41,-16.41,31.41,-16.41,16.41,-22.91678308,-163.3946271
3.45,-24.41,-30.01,24.41,24.41,-16.41,46.41,-16.41,16.41,-25.27539623,-120.139851
3.45,-24.41,-30.01,24.41,24.41,-16.41,61.41,-16.41,16.41,-25.10517975,-132.0742763
3.45,-24.41,-30.01,24.41,24.41,-16.41,76.41,-16.41,16.41,-23.85395172,-139.9158336
3.45,-24.41,-30.01,24.41,24.41,-16.41,91.41,-16.41,16.41,-24.43544493,-145.4433131
3.45,-24.41,-30.01,24.41,24.41,-16.41,106.41,-16.41,16.41,-24.12841162,-147.2233217
3.45,-24.41,-30.01,24.41,24.41,-16.41,121.41,-16.41,16.41,-23.92316483,-150.4354298
3.45,-24.41,-30.01,24.41,24.41,-16.41,131.41,-16.41,16.41,-24.89052747,-155.239208
3.45,-24.41,-24.41,24.41,24.41,-16.41,16.41,-16.41,16.41,-24.94954734,-155.5519806
3.45,-24.41,-24.01,24.41,24.41,-16.41,16.41,-16.41,16.41,-23.35916034,-158.0181376
3.45,-24.41,-24.01,24.41,24.41,-16.41,31.41,-16.41,16.41,-23.10458527,-116.5343131
3.45,-24.41,-24.01,24.41,24.41,-16.41,46.41,-16.41,16.41,-25.94270529,-112.9030953
3.45,-24.41,-24.01,24.41,24.41,-16.41,61.41,-16.41,16.41,-25.14495036,-127.2873216
3.45,-24.41,-24.01,24.41,24.41,-16.41,76.41,-16.41,16.41,-24.29866479,-135.6958738
3.45,-24.41,-24.01,24.41,24.41,-16.41,91.41,-16.41,16.41,-24.74556608,-142.1225091
3.45,-24.41,-24.01,24.41,24.41,-16.41,106.41,-16.41,16.41,-24.7206778,-143.8112324
3.45,-24.41,-24.01,24.41,24.41,-16.41,121.41,-16.41,16.41,-24.90051136,-146.7534321
3.45,-24.41,-24.01,24.41,24.41,-16.41,131.41,-16.41,16.41,-24.02524132,-154.1823393
3.45,-24.41,-24.41,24.01,24.41,-16.41,16.41,-16.41,16.41,-25.00693703,-154.1148638
3.45,-24.41,-24.41,39.01,24.41,-16.41,16.41,-16.41,16.41,-23.10450112,-156.8566991
3.45,-24.41,-24.41,54.01,24.41,-16.41,16.41,-16.41,16.41,-24.61711124,-114.3568259
3.45,-24.41,-24.41,69.01,24.41,-16.41,16.41,-16.41,16.41,-23.95920706,-129.5802879
3.45,-24.41,-24.41,75.01,24.41,-16.41,16.41,-16.41,16.41,-23.94115422,-144.1848982
3.45,-24.41,-24.41,24.01,24.41,-16.41,16.41,-131.41,16.41,-24.16845882,-158.1659315
3.45,-24.41,-24.41,39.01,24.41,-16.41,16.41,-131.41,16.41,-24.49252148,-164.2392992
3.45,-24.41,-24.41,54.01,24.41,-16.41,16.41,-131.41,16.41,-24.30197994,-155.1771669
3.45,-24.41,-24.41,69.01,24.41,-16.41,16.41,-131.41,16.41,-24.16783619,-159.6021057
3.45,-24.41,-24.41,75.01,24.41,-16.41,16.41,-131.41,16.41,-23.95437662,-166.119742
3.45,-24.41,-24.41,24.01,24.41,-16.41,16.41,-116.41,16.41,-23.09945452,-176.2511325
3.45,-24.41,-24.41,39.01,24.41,-16.41,16.41,-116.41,16.41,-25.59430242,-177.2192705
3.45,-24.41,-24.41,54.01,24.41,-16.41,16.41,-116.41,16.41,-23.75902236,-156.9980622
3.45,-24.41,-24.41,69.01,24.41,-16.41,16.41,-116.41,16.41,-24.59355348,-160.2140904
3.45,-24.41,-24.41,75.01,24.41,-16.41,16.41,-116.41,16.41,-25.41393507,-164.7045457
3.45,-24.41,-24.41,24.01,24.41,-16.41,16.41,-101.41,16.41,-24.42310549,-173.8460096
3.45,-24.41,-24.41,39.01,24.41,-16.41,16.41,-101.41,16.41,-24.25227077,-178.5372153
3.45,-24.41,-24.41,54.01,24.41,-16.41,16.41,-101.41,16.41,-24.1418113,-152.3524475
3.45,-24.41,-24.41,69.01,24.41,-16.41,16.41,-101.41,16.41,-24.65108936,-158.1765062
3.45,-24.41,-24.41,75.01,24.41,-16.41,16.41,-101.41,16.41,-24.2864541,-166.5550991
3.45,-24.41,-24.41,24.01,24.41,-16.41,16.41,-86.41,16.41,-24.43963032,-175.111365
3.45,-24.41,-24.41,39.01,24.41,-16.41,16.41,-86.41,16.41,-25.02689843,-178.712932
3.45,-24.41,-24.41,54.01,24.41,-16.41,16.41,-86.41,16.41,-25.81817528,-144.7143165
3.45,-24.41,-24.41,69.01,24.41,-16.41,16.41,-86.41,16.41,-24.94637387,-152.9762717
3.45,-24.41,-24.41,75.01,24.41,-16.41,16.41,-86.41,16.41,-24.65059662,-163.3759144
3.45,-24.41,-24.41,24.01,24.41,-16.41,16.41,-71.41,16.41,-24.86362776,-175.5964698
3.45,-24.41,-24.41,39.01,24.41,-16.41,16.41,-71.41,16.41,-23.98150961,-181.4817996
3.45,-24.41,-24.41,54.01,24.41,-16.41,16.41,-71.41,16.41,-24.31827811,-145.2826053
3.45,-24.41,-24.41,69.01,24.41,-16.41,16.41,-71.41,16.41,-24.35192246,-153.8839158
